model_id,snr,ber__mean,ber__std,ber__std_confidence
turboae_exact_encoder_decoder_finetune,-3.0,0.2783668041229248,0.12673047184944153,0.0005667558997519495
turboae_exact_encoder_decoder_finetune,-2.5,0.22063438594341278,0.13956765830516815,0.0006241655428616381
turboae_exact_encoder_decoder_finetune,-2.0,0.15497761964797974,0.13846193253993988,0.0006192205869105914
turboae_exact_encoder_decoder_finetune,-1.5,0.09050577878952026,0.11851666122674942,0.0005300226219386506
turboae_exact_encoder_decoder_finetune,-1.0,0.04222999885678291,0.08595540374517441,0.00038440425161529997
turboae_exact_encoder_decoder_finetune,-0.5,0.014854398556053638,0.049815062433481216,0.0002227797318093202
turboae_exact_encoder_decoder_finetune,0.0,0.003986799158155918,0.023122113198041916,0.00010340523378853357
turboae_exact_encoder_decoder_finetune,0.5,0.0009911999804899096,0.009363080374896526,4.18729683941257e-05
turboae_exact_encoder_decoder_finetune,1.0,0.00028560005011968315,0.0033224469516426325,1.4858434471019766e-05
turboae_exact_encoder_decoder_finetune,1.5,9.139999747276306e-05,0.0013615003554150462,6.088814692196334e-06
turboae_exact_encoder_decoder_finetune,2.0,3.059999653487466e-05,0.0006701287929899991,2.996907069611045e-06
turboae_exact_encoder_decoder_finetune,2.5,1.2199997399875429e-05,0.0004169587919022888,1.8646964050194133e-06
turboae_exact_encoder_decoder_finetune,3.0,4.4000003072142135e-06,0.0002366046392126009,1.0581281141423759e-06
