model_id,snr,ber__mean,ber__std,ber__std_confidence
turboae_exact_encoder_decoder_scratch,-3.0,0.29080235958099365,0.1159527376294136,0.0005185564070331333
turboae_exact_encoder_decoder_scratch,-2.5,0.24066360294818878,0.12774401903152466,0.0005712886205470319
turboae_exact_encoder_decoder_scratch,-2.0,0.1810828149318695,0.13174442946910858,0.0005891789998997066
turboae_exact_encoder_decoder_scratch,-1.5,0.11767179518938065,0.12159030139446259,0.0005437683586454117
turboae_exact_encoder_decoder_scratch,-1.0,0.0644960030913353,0.09688173234462738,0.0004332682786010538
turboae_exact_encoder_decoder_scratch,-0.5,0.02771580219268799,0.06366988271474838,0.00028474037173923246
turboae_exact_encoder_decoder_scratch,0.0,0.008863000199198723,0.033829160034656525,0.00015128860291842227
turboae_exact_encoder_decoder_scratch,0.5,0.002417199779301882,0.015875836834311485,7.099890072243109e-05
turboae_exact_encoder_decoder_scratch,1.0,0.0005769999697804451,0.005807387176901102,2.597142499842292e-05
turboae_exact_encoder_decoder_scratch,1.5,0.00014020003436598927,0.0018336878856644034,8.200501523726936e-06
turboae_exact_encoder_decoder_scratch,2.0,5.499999679159373e-05,0.0011077000526711345,4.953785232905508e-06
turboae_exact_encoder_decoder_scratch,2.5,1.819999670260586e-05,0.0005193015676923096,2.322387212364426e-06
turboae_exact_encoder_decoder_scratch,3.0,8.799999704933725e-06,0.000404877559049055,1.810667489195744e-06
